epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5798,1.57494,4.62324,1.30767,0.01009,0.47251,0.14644,0.07948,1.39343,4.61659,1.08013,0.000241255,0.000241255,0.000241255
2,30.9371,1.58432,3.2125,1.2676,0.00457,0.40341,0.26265,0.13767,1.33177,4.15182,1.06519,0.000496357,0.000496357,0.000496357
3,46.2701,1.4957,2.78248,1.2761,0.95525,0.13115,0.25531,0.13243,1.56299,3.8714,1.18773,0.00075019,0.00075019,0.00075019
4,61.3055,1.4702,2.53415,1.21602,0.94172,0.14609,0.38618,0.19251,1.71103,3.57107,1.24443,0.00076329,0.00076329,0.00076329
5,76.3039,1.43229,2.34303,1.23311,0.88068,0.20074,0.4216,0.21591,1.60576,3.23323,1.22961,0.000761387,0.000761387,0.000761387
6,91.5854,1.39363,2.31505,1.21543,0.75315,0.32069,0.38717,0.18369,1.77397,3.18672,1.403,0.000759484,0.000759484,0.000759484
7,107.016,1.42086,2.07048,1.21276,0.84469,0.41049,0.56953,0.26954,1.7647,2.46326,1.41739,0.00075758,0.00075758,0.00075758
8,122.566,1.35393,2.0055,1.20684,0.895,0.42538,0.60661,0.29854,1.73301,2.14533,1.32147,0.000755677,0.000755677,0.000755677
9,137.912,1.37503,1.97406,1.2014,0.82527,0.46279,0.58025,0.31519,1.50579,2.12144,1.19738,0.000753774,0.000753774,0.000753774
10,153.142,1.35862,1.87243,1.19013,0.635,0.5488,0.68605,0.37011,1.60186,1.85835,1.20017,0.000751871,0.000751871,0.000751871
11,168.547,1.36178,1.86912,1.18931,0.6398,0.64409,0.7028,0.39077,1.39657,1.77515,1.10346,0.000749967,0.000749967,0.000749967
12,183.935,1.33076,1.76689,1.19233,0.69836,0.72358,0.79545,0.43373,1.42061,1.60649,1.11941,0.000748064,0.000748064,0.000748064
13,199.257,1.32965,1.74145,1.15703,0.65375,0.79106,0.75495,0.3984,1.4213,1.62455,1.10381,0.000746161,0.000746161,0.000746161
14,214.336,1.30183,1.59869,1.15359,0.73514,0.77982,0.82432,0.41344,1.57115,1.57395,1.16392,0.000744257,0.000744257,0.000744257
15,229.393,1.27028,1.54778,1.15703,0.79958,0.70722,0.82878,0.4198,1.45275,1.54065,1.1158,0.000742354,0.000742354,0.000742354
16,244.491,1.31799,1.49311,1.13743,0.77383,0.71406,0.73227,0.40473,1.37475,1.48667,1.09873,0.000740451,0.000740451,0.000740451
17,259.454,1.28276,1.51093,1.12422,0.78088,0.72168,0.79845,0.34011,1.65282,1.50347,1.16272,0.000738548,0.000738548,0.000738548
18,274.451,1.31015,1.52605,1.13344,0.76169,0.73071,0.77753,0.43017,1.35671,1.45023,1.11391,0.000736644,0.000736644,0.000736644
19,289.608,1.23836,1.38165,1.13106,0.63061,0.73814,0.73622,0.35166,1.56351,1.54042,1.18811,0.000734741,0.000734741,0.000734741
20,304.677,1.23173,1.42072,1.11517,0.78937,0.80932,0.83409,0.41201,1.54264,1.48121,1.14332,0.000732838,0.000732838,0.000732838
21,320.089,1.24272,1.38176,1.16608,0.75605,0.77488,0.84337,0.45038,1.41039,1.51613,1.10677,0.000730935,0.000730935,0.000730935
22,335.483,1.18435,1.29034,1.10128,0.66143,0.74797,0.78552,0.43866,1.42845,1.4158,1.13237,0.000729031,0.000729031,0.000729031
23,350.7,1.20506,1.37205,1.14466,0.79185,0.85392,0.83679,0.41552,1.68797,1.30905,1.16297,0.000727128,0.000727128,0.000727128
24,365.933,1.21144,1.23234,1.11643,0.86669,0.77488,0.84586,0.43109,1.50141,1.30367,1.11698,0.000725225,0.000725225,0.000725225
25,381.178,1.17787,1.21768,1.07363,0.71051,0.82121,0.75341,0.36255,1.68445,1.35187,1.16888,0.000723321,0.000723321,0.000723321
26,396.294,1.18377,1.19111,1.09224,0.7192,0.79981,0.75228,0.43248,1.31598,1.23235,1.02366,0.000721418,0.000721418,0.000721418
27,411.524,1.22186,1.23835,1.10301,0.70575,0.80783,0.7778,0.47381,1.25721,1.19577,1.01486,0.000719515,0.000719515,0.000719515
28,426.706,1.18059,1.14503,1.12613,0.88692,0.69413,0.78597,0.43951,1.49941,1.25852,1.1126,0.000717612,0.000717612,0.000717612
29,441.749,1.16409,1.19769,1.09003,0.7616,0.82388,0.78546,0.4469,1.40051,1.16087,1.09695,0.000715708,0.000715708,0.000715708
30,456.941,1.18459,1.10632,1.08099,0.72321,0.77772,0.80344,0.41219,1.59687,1.3419,1.20406,0.000713805,0.000713805,0.000713805
31,472.184,1.16557,1.14102,1.09454,0.81795,0.83719,0.88157,0.4369,1.58492,1.23717,1.13037,0.000711902,0.000711902,0.000711902
32,487.299,1.15284,1.07894,1.04971,0.8059,0.82508,0.80461,0.49101,1.36214,1.11588,1.03877,0.000709998,0.000709998,0.000709998
33,502.782,1.11011,1.06738,1.07792,0.78597,0.74546,0.7888,0.40188,1.6953,1.25843,1.19616,0.000708095,0.000708095,0.000708095
34,517.897,1.1563,1.07561,1.05401,0.86868,0.81159,0.86973,0.4722,1.54819,1.15743,1.1415,0.000706192,0.000706192,0.000706192
35,533.225,1.16241,1.01037,1.06695,0.72005,0.8608,0.78135,0.44501,1.37539,1.15194,1.09804,0.000704289,0.000704289,0.000704289
36,548.497,1.13776,1.00611,1.04371,0.86471,0.67057,0.78752,0.45714,1.45866,1.13788,1.11231,0.000702385,0.000702385,0.000702385
37,563.649,1.18578,1.0787,1.13541,0.60417,0.83397,0.79359,0.47962,1.22852,1.14144,1.04098,0.000700482,0.000700482,0.000700482
38,578.912,1.14712,1.06159,1.0742,0.72637,0.84962,0.8098,0.49782,1.3431,1.09409,1.07268,0.000698579,0.000698579,0.000698579
39,594.158,1.12624,0.97612,1.0559,0.72945,0.84788,0.8158,0.52631,1.15134,1.09617,1.04585,0.000696676,0.000696676,0.000696676
40,609.357,1.15929,0.9981,1.08586,0.80445,0.7903,0.82246,0.44368,1.54717,1.09082,1.1452,0.000694772,0.000694772,0.000694772
41,624.57,1.14296,0.99015,1.06331,0.75132,0.87187,0.83474,0.52701,1.37681,1.03035,1.10735,0.000692869,0.000692869,0.000692869
42,639.788,1.12107,0.93931,1.06001,0.78256,0.86617,0.83351,0.48727,1.372,1.01538,1.06077,0.000690966,0.000690966,0.000690966
43,655.193,1.11183,0.93822,1.04462,0.76975,0.86438,0.81647,0.51198,1.24035,1.00155,1.03053,0.000689062,0.000689062,0.000689062
44,670.695,1.06074,0.89239,1.04907,0.74087,0.85659,0.82475,0.48142,1.49664,1.03274,1.096,0.000687159,0.000687159,0.000687159
45,686.066,1.13171,0.96736,1.06395,0.83282,0.87049,0.88005,0.54995,1.19796,0.91107,1.00635,0.000685256,0.000685256,0.000685256
46,701.64,1.13085,0.9005,1.03999,0.83955,0.82661,0.90673,0.54203,1.30484,0.95527,1.02917,0.000683353,0.000683353,0.000683353
47,717.085,1.06909,0.88203,1.04184,0.77402,0.71709,0.75028,0.48095,1.33604,1.01264,1.06596,0.000681449,0.000681449,0.000681449
48,732.613,1.03689,0.93344,1.03362,0.82715,0.79858,0.81041,0.47909,1.33426,0.95958,1.05969,0.000679546,0.000679546,0.000679546
49,748.231,1.08003,0.87059,1.03431,0.79087,0.85148,0.82986,0.44838,1.53454,0.95094,1.14736,0.000677643,0.000677643,0.000677643
50,763.695,1.06816,0.89307,1.04618,0.76347,0.83431,0.83938,0.51252,1.36452,0.9899,1.08886,0.00067574,0.00067574,0.00067574
51,779.326,1.0466,0.84574,1.02537,0.88795,0.75865,0.85691,0.54948,1.17295,0.92901,1.04946,0.000673836,0.000673836,0.000673836
52,794.566,1.07458,0.9079,1.05272,0.79968,0.74899,0.79849,0.50983,1.13369,0.91925,1.0011,0.000671933,0.000671933,0.000671933
